"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jimmy johns",60657,"Jimmy John's",4.2,1.0,80,"OPERATIONAL","ChIJT2pyhK7TD4gRbRnAcraXKgM","3328 N Clark St, Chicago, IL 60657, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60625,"Jimmy John's",3.3,1.0,89,"OPERATIONAL","ChIJq2pk0QTSD4gRIkP1oEiIn4A","2336 W Lawrence Ave, Chicago, IL 60625, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60641,"Jimmy John's",4.0,1.0,183,"OPERATIONAL","ChIJxX0BRkbMD4gRj4SuhGh5ewk","4021 N Milwaukee Ave, Chicago, IL 60641, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy johns",60654,"Jimmy John's",3.4,1.0,60,"OPERATIONAL","ChIJBeNC5FLTD4gRYeyhiQZSODo","705 N State St, Chicago, IL 60654, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60610,"Jimmy John's",3.0,1.0,166,"OPERATIONAL","ChIJbdBook_TD4gRgMK55ByqFK8","51 W Division St, Chicago, IL 60610, United States","['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60642,"Jimmy John's",3.6,1.0,93,"OPERATIONAL","ChIJTYZMDiotDogRvZPaS632PK0","520 N Ogden Ave, Chicago, IL 60642, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60602,"Jimmy John's",3.2,1.0,27,"OPERATIONAL","ChIJeZBoq7ssDogRChAcQSB-N1o","28 N Clark St, Chicago, IL 60602, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60654,"Jimmy John's",3.4,1.0,60,"OPERATIONAL","ChIJBeNC5FLTD4gRYeyhiQZSODo","705 N State St, Chicago, IL 60654, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60605,"Jimmy John's",3.3,1.0,92,"OPERATIONAL","ChIJuXoaRpssDogRWp0NjV3EZv4","1250 S Michigan Ave, Chicago, IL 60605, United States","['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60609,"Jimmy John's",3.8,1.0,167,"OPERATIONAL","ChIJGZ--5jAsDogR9aaPTh_paQE","974 W 35th Pl, Chicago, IL 60609, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
